"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.count","thrpt",10,10,608.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtobufDeserialize:·gc.time","thrpt",10,10,915.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize","thrpt",10,10,2028.015839,41.656859,"ops/ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.alloc.rate","thrpt",10,10,2601.740148,64.128524,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.alloc.rate.norm","thrpt",10,10,1380.000126,6.374547,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.churn.G1_Eden_Space","thrpt",10,10,2609.305840,69.395496,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.churn.G1_Eden_Space.norm","thrpt",10,10,1384.042408,20.846498,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.churn.G1_Old_Gen","thrpt",10,10,0.002354,0.000717,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.churn.G1_Old_Gen.norm","thrpt",10,10,0.001249,0.000381,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.count","thrpt",10,10,438.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.ProtostuffDeserialize:·gc.time","thrpt",10,10,662.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
