"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.001948,0.000930,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.001888,0.000900,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.count","avgt",10,10,276.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.FastjsonSerialize:·gc.time","avgt",10,10,404.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.GsonSerialize","avgt",10,10,0.015223,0.000115,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.GsonSerialize:·gc.alloc.rate","avgt",10,10,1851.351083,14.432510,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.GsonSerialize:·gc.alloc.rate.norm","avgt",10,10,3031.787946,0.011971,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.GsonSerialize:·gc.churn.G1_Eden_Space","avgt",10,10,1858.612873,36.774215,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.GsonSerialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,3043.703295,58.402304,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.GsonSerialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.001753,0.000594,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.GsonSerialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.002870,0.000969,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.GsonSerialize:·gc.count","avgt",10,10,312.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
